,Unnamed: 0,obj_values,MRO_obj_values,cluster_SAA_obj_values,epsilon,online_time,MRO_time,cluster_SAA_time,MRO_square_val,MRO_sig_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1,cluster_SAA_eval0,cluster_SAA_eval1,cluster_SAA_satisfy0,cluster_SAA_satisfy1
0,0.0,0.858989906852987,0.858989906852987,3.286260152890464e-16,0.6708203932499368,0.11590877142734823,0.03617009129375214,0.03521775482222434,2.2353922798965764e-32,0.0,2.2353922798965764e-32,0.0,0.858989906852987,0.8589899068529873,6.0939788818359374e-05,1.7404556274414062e-05,1.0,1.0,2.0265579223632812e-05,1.3279914855957032e-05,0.0,1.6209595290572831,3.7124318630343825e-08,0.9226575458875148,0.9345742959769883,0.3,0.3,0.9226575458875151,0.9345742959769886,0.3,0.3,0.3,0.3,0.3,0.3,3.818876294738957,3.732325267255034,0.0,0.0
1,1.0,0.883574323965387,0.8835743239653873,7.401486830834376e-16,0.6123724356957946,0.04284593774937088,0.08126553907059128,0.11633697522338478,3.562640631767835e-32,1.850371707708594e-18,1.8628268999138137e-32,3.700743415417188e-18,0.8835743239653869,0.8835743239653873,4.189014434814453e-05,1.5473365783691408e-05,0.9198930328637595,0.9198930328637596,1.983642578125e-05,1.3089179992675781e-05,1.0,2.1406729213874254,1.345343359308044,0.9514408251456213,0.9685797820022606,0.2,0.3,0.9514408251456213,0.9685797820022606,0.2,0.3,0.2,0.3,0.2,0.3,3.906397450414468,3.9023694931947888,0.0,0.0
2,2.0,0.8741530793295442,0.8741530793295444,9.794634239470824e-16,0.5,0.0877639780286699,0.07645168681628997,0.1556078752502799,3.742474758278541e-32,3.7007434154171884e-18,1.2418845999425422e-32,2.467162276944792e-18,0.8741530793295442,0.8741530793295444,4.107952117919922e-05,1.544952392578125e-05,0.9381175739870782,0.9381175739870782,1.9478797912597657e-05,1.4352798461914063e-05,4.0,1.8720974210985897,1.5688243271430231,0.9505469180337665,0.9442845774445956,0.0,0.2,0.950546918033767,0.9442845774445958,0.0,0.2,0.0,0.2,0.0,0.2,3.6011569780083255,3.1399617200498637,0.0,0.0
3,3.0,0.87479307826887,0.87479307826887,1.4788170688007087e-15,0.4743416490252569,0.25883179458323863,0.18981640601996333,0.18362706878688187,3.413200755917667e-32,5.551115123125783e-18,1.1176961399482882e-32,3.3306690738754695e-18,0.87479307826887,0.87479307826887,3.807544708251953e-05,1.4996528625488281e-05,0.8968853174374235,0.8968853174374232,2.002716064453125e-05,1.494884490966797e-05,5.0,1.7660541952008812,1.524367863799155,0.9124285744349978,0.9072107095458917,0.2,0.2,0.9124285744349979,0.9072107095458911,0.2,0.2,0.2,0.2,0.2,0.2,2.984513592535544,2.8202292109587583,0.0,0.0
4,4.0,0.8763858600716594,0.8763858600716594,5.852461372666897e-16,0.40089186286863654,0.24668265362270175,0.21613197482656687,0.6416249147849158,3.803442821399534e-32,2.3790493384824783e-18,7.983543856773486e-33,7.930164461608259e-19,0.8763858600716594,0.8763858600716594,4.0411949157714844e-05,1.4925003051757813e-05,0.9312667626690077,0.9312667626690073,1.9812583923339842e-05,1.2683868408203126e-05,9.0,1.4572133562508967,1.3237100364461003,0.9084349383156747,0.8918037983188973,0.2,0.5,0.9084349383156743,0.8918037983188969,0.2,0.5,0.2,0.5,0.2,0.5,2.4198259766909502,2.402121316826387,0.0,0.0
5,5.0,0.865136281227028,0.8651362812270283,5.59552404411079e-16,0.38729833462074165,0.3232911491999403,0.2524596311384812,0.7347820830065757,3.5247305314491087e-32,2.9605947323337506e-18,7.451307599655256e-33,1.4802973661668753e-18,0.865136281227028,0.8651362812270282,6.644725799560532e-05,1.5234947204589843e-05,0.8853299925810726,0.8853299925810726,1.964569091796875e-05,1.2540817260742188e-05,10.0,1.398308774396522,1.2790430308220557,0.8815302858766672,0.8741729544756789,0.4,0.5,0.8815302858766673,0.8741729544756787,0.4,0.5,0.4,0.5,0.4,0.5,2.6949473484819326,2.5670098965913657,0.0,0.0
6,6.0,0.8467466554945158,0.8467466554945154,4.844078354811867e-16,0.3441236008058426,0.2882928173756227,0.25435957990121094,3.456565790134482,4.1222761035136934e-32,5.843279076974508e-18,5.882611262885727e-33,0.0,0.8467466554945158,0.8467466554945157,4.024505615234375e-05,1.4448165893554688e-05,0.8563881790847871,0.8563881790847875,2.0432472229003907e-05,1.304149627685547e-05,14.0,1.214991989957804,1.125700141055065,0.8715618428333679,0.8682178668460748,0.4,0.4,0.8715618428333685,0.868217866846075,0.4,0.4,0.4,0.4,0.4,0.4,3.187583574251817,2.964722935826265,0.0,0.0
7,7.0,0.8258063770406727,0.8258063770406727,4.818367926873179e-16,0.33541019662496835,0.3348672654014081,0.4301878375234082,3.925691866292618,3.205950228912294e-32,6.106226635438362e-18,5.588480699741441e-33,0.0,0.8258063770406727,0.8258063770406727,4.61578369140625e-05,1.5020370483398438e-05,0.8337543934873143,0.8337543934873137,2.0885467529296874e-05,1.3685226440429687e-05,15.0,1.1745519983182775,1.0914542697844285,0.8688039445341644,0.8680101898928536,0.4,0.4,0.8688039445341639,0.8680101898928525,0.4,0.4,0.4,0.4,0.4,0.4,3.1428066505679197,2.8943869578508674,0.0,0.0
8,8.0,0.8246460865656411,0.8246460865656413,0.053951790649701604,0.3061862178478973,0.3783472584327683,0.2953271030448377,8.08101006303914,3.1299498308071077e-32,2.7755575615628907e-18,4.6570672497845344e-33,0.0,0.8246460865656411,0.8246460865656413,4.4679641723632814e-05,1.5139579772949219e-05,0.8363913267188655,0.8363913267188657,2.033710479736328e-05,1.2969970703125e-05,19.0,1.0478162432543061,0.9854710594273358,0.8688396073614463,0.8663017729472233,0.5,0.2,0.8688396073614475,0.8663017729472242,0.5,0.2,0.5,0.2,0.5,0.2,3.330325303973872,3.4992726197052866,0.0,0.0
9,9.0,0.8321411675510003,0.8321411675510003,0.056836445502234025,0.29999999999999993,0.3954785087145865,0.24201183430850506,6.698838025913574,3.4456721325569604e-32,4.8849813083506885e-18,4.470784559793153e-33,0.0,0.8321411675510003,0.8321411675510004,5.345344543457031e-05,1.4972686767578124e-05,0.8379941425473574,0.8379941425473575,2.0265579223632812e-05,1.5354156494140626e-05,20.0,1.00863770267306,0.9615082193314878,0.8688033285446807,0.8595138668603244,0.5,0.3,0.8688033285446817,0.8595138668603253,0.5,0.3,0.5,0.3,0.5,0.3,3.3452445520163407,3.3595542027389014,0.0,0.0
10,10.0,0.7270434627172169,0.7300159154555815,0.010629698594202578,0.14638501094227993,0.43805106428917495,0.41465014130808414,4.551971154473722,9.474589861408184,0.3078186856872883,10.194928433679578,0.29806873707381476,0.9287927911326562,0.9303112173878768,4.99725341796875e-05,1.5664100646972657e-05,0.9361177850351565,0.9361177850351552,2.1576881408691406e-05,0.02346282005310058,100.0,0.2651468299781808,0.2369854937744948,0.7532217061115404,0.7091295876726285,0.4,0.8,0.766967330626926,0.7446286799689974,0.4,0.6,1.0,1.0,1.0,1.0,2.333246259340998,2.4864206313621833,0.0,0.0
11,11.0,0.7202372835504566,0.7522795336628482,0.011312317608655293,0.14569287935358963,0.35886911388952286,0.43989286974538117,7.0327052199747415,9.442597539254624,0.2607473164930247,10.319705491855974,0.30022777244623045,0.922657221188613,0.8902918572493494,5.3763389587402344e-05,1.6117095947265624e-05,0.928162569842964,0.9298498736798935,2.4318695068359375e-05,1.3709068298339844e-05,101.0,0.2626198574687839,0.2644899263600665,0.743045276400301,0.6980973313743192,0.5,0.7,0.7641709141371414,0.7320916349102213,0.4,0.5,1.0,1.0,1.0,1.0,2.8013497768710653,2.56955090172962,0.0,0.0
12,12.0,0.5929774233919769,0.6393982388065006,0.023808542011610485,0.1047645443654367,0.39647122088354075,0.5090266106883063,3.9172802855493503,11.217897418046096,0.3601248301998675,12.432150670393145,0.4584881514754306,0.9920904332754583,0.9040023064171908,6.508827209472656e-05,1.7261505126953126e-05,0.8901950427907535,0.8597993101088248,2.4580955505371092e-05,1.4472007751464844e-05,200.0,0.16205062068241227,0.14876187252757755,0.6403013135914216,0.6228272039412499,0.5,0.8,0.7232914130245669,0.6908361407206152,0.1,0.1,1.0,1.0,1.0,1.0,2.6960407700028073,2.6949744992698568,0.0,0.0
13,13.0,0.5889797675523045,0.6393252900571639,0.01105820150041727,0.10450995214374262,0.34605275120120493,0.5032179068541154,4.560329929250292,11.190626745583826,0.37491565974809,12.381807658913734,0.4786989143368522,1.0060067478764305,0.920700260923429,6.4849853515625e-05,1.8024444580078124e-05,0.9931648603105868,0.9042180605984301,2.4747848510742187e-05,1.52587890625e-05,201.0,0.16921087426467546,0.15990059835677095,0.6578688480049422,0.6235590259998325,0.5,0.6,0.7538677752936918,0.7215582609085144,0.1,0.1,1.0,1.0,1.0,1.0,2.236781438356473,2.3556334799456944,0.0,0.0
14,14.0,0.5472311569946107,0.5705545440882684,1.335907705040762e-16,0.08588975014708021,0.3648022476118058,0.3131419693119824,4.303659816831351,11.891858673736955,0.42102722022128247,12.931132327006708,0.4946576392090011,0.9719767323745752,0.9050428151650551,5.891323089599609e-05,1.938343048095703e-05,0.9876995202812882,0.8917044841095866,2.956390380859375e-05,1.5401840209960936e-05,300.0,0.13219360397880647,0.11474111642213751,0.5971973353838557,0.5995433206074312,0.3,0.4,0.6899057519608144,0.6815619128313187,0.1,0.0,1.0,1.0,1.0,1.0,2.427919448296282,2.342108970884673,0.0,0.0
15,15.0,0.5603813484837106,0.5839254192562795,0.00026130587549012243,0.0857492925712544,0.5920655190013349,0.524999642604962,3.147104400768876,11.871266306071885,0.4334127654899949,12.980478099749291,0.4643152511807723,0.9572319890000983,0.925224284533116,5.984306335449219e-05,1.7547607421875e-05,0.9710512990023966,0.9034894291583129,2.4938583374023436e-05,1.52587890625e-05,301.0,0.13684743988864126,0.12066247172353284,0.6414983046039396,0.6272234347211653,0.3,0.4,0.6298581887278083,0.6185796721086677,0.4,0.2,1.0,1.0,1.0,1.0,2.2853852362257983,2.21938168219478,0.0,0.0
16,16.0,0.46933008597109804,0.4980736620565412,1.9879845369337367e-16,0.07453559924999288,0.5422940080286935,0.29259088542312384,1.2040030670585111,12.23481462582557,0.47100889907775123,13.425458705469405,0.5230671891959328,0.9444687332509168,0.9077963829001747,5.588531494140625e-05,1.811981201171875e-05,0.9131202574689331,0.8823830677214305,2.5701522827148437e-05,1.6069412231445314e-05,400.0,0.11492523031168958,0.09546951369698572,0.5940571536085608,0.5905194961313462,0.0,0.1,0.6426690555848925,0.6349724063466187,0.0,0.0,1.0,1.0,1.0,1.0,2.1591417246624376,2.2095890868124433,0.0,0.0
17,17.0,0.47494562161420645,0.5182665159118227,1.8999580234225587e-16,0.07444375004781968,0.33603175142779945,0.24449767440091819,2.2983689648797734,12.188771808007843,0.462086599331346,13.405149835617447,0.4883638379116658,0.9074965908300756,0.9011924225219241,6.341934204101562e-05,1.8143653869628905e-05,0.9436904707672327,0.9066758298143501,2.7227401733398438e-05,1.609325408935547e-05,401.0,0.11915682840477967,0.09908631063654318,0.617905911425165,0.6200708839092866,0.2,0.1,0.6387217698869346,0.6187691111179887,0.0,0.0,1.0,1.0,1.0,1.0,2.394112647667625,2.3985974368180205,0.0,0.0
18,18.0,0.4366466781636514,0.4635455349717989,1.0915361024284956e-16,0.06674912392349772,0.2231074610259384,0.4281574938679114,1.1419483463978395,12.456079051546908,0.45874358766716317,13.613394718719633,0.49151301494771593,0.8762640058329042,0.8670911028749178,6.222724914550781e-05,1.9001960754394532e-05,0.8737704823670798,0.8622576086412673,2.703666687011719e-05,1.678466796875e-05,500.0,0.10349966821849957,0.0826650239948267,0.5818524102357456,0.5736291812076874,0.1,0.1,0.6229777999454078,0.6172591606016132,0.0,0.0,1.0,1.0,1.0,1.0,2.2760711224426693,2.355559648603892,0.0,0.0
19,19.0,0.43174436733435206,0.46357125158610674,3.5215572223782136e-16,0.06668313367115798,0.3360683262348175,0.3064749743556604,1.8340044609736652,12.479891869219184,0.4484536843306822,13.557554370147693,0.4965981038254454,0.8819306259121493,0.8531522966045163,5.660057067871094e-05,1.8715858459472656e-05,0.8766933316491101,0.8677523609345841,2.715587615966797e-05,1.685619354248047e-05,501.0,0.10479605165358848,0.08520989619559677,0.5836649546001966,0.5705516594223587,0.0,0.0,0.6164305762633546,0.6093978900346617,0.0,0.0,1.0,1.0,1.0,1.0,1.7572810152542537,1.7568824551390754,0.0,0.0
20,20.0,0.40375241895821273,0.42143344163854374,2.0954771435032501e-16,0.06098367211363061,0.6125510935205967,0.27097434343304483,0.6672263653483241,12.581051019946463,0.4898455937234045,13.66034815440128,0.5205256408931145,0.8890285107167706,0.8616415083381941,6.036758422851562e-05,1.9812583923339842e-05,0.8586169906208434,0.8304289781328442,2.8967857360839844e-05,1.7380714416503908e-05,600.0,0.09430116459861608,0.07341926325583359,0.5704016742335816,0.5828379013555824,0.0,0.0,0.5881348962786535,0.5957029178289442,0.0,0.0,1.0,1.0,1.0,1.0,2.228450273034766,2.137791550766405,0.0,0.0
